HCHO_Amount,Location,Present_Date,Next_Date,Month,Average Temperature(°C)
7.822883224906507e-05,Matara,2019-07-02,2019-07-03,July,26.2
6.491148472259721e-05,Matara,2019-07-04,2019-07-05,July,26.2
0.0001015658193247,Matara,2019-07-05,2019-07-06,July,26.2
0.0001854224783202,Matara,2019-07-06,2019-07-07,July,26.2
9.519535246307652e-05,Matara,2019-07-07,2019-07-08,July,26.2
0.000122118023414,Matara,2019-07-08,2019-07-09,July,26.2
3.5168823276630766e-05,Matara,2019-07-10,2019-07-11,July,26.2
9.399985364620808e-05,Matara,2019-07-11,2019-07-12,July,26.2
9.815205823701609e-05,Matara,2019-07-12,2019-07-13,July,26.2
0.000155182766871,Matara,2019-07-13,2019-07-14,July,26.2
3.06090383772373e-05,Matara,2019-07-14,2019-07-15,July,26.2
3.9205342571432974e-05,Matara,2019-07-16,2019-07-17,July,26.2
2.7530496770538245e-05,Matara,2019-07-23,2019-07-24,July,26.2
1.917795009592158e-06,Matara,2019-07-24,2019-07-25,July,26.2
1.6406873869175554e-05,Matara,2019-07-27,2019-07-28,July,26.2
0.0001339288013077,Matara,2019-07-29,2019-07-30,July,26.2
3.6934841833654336e-05,Matara,2019-07-31,2019-08-01,July,26.2
6.79387627216613e-05,Matara,2019-08-01,2019-08-02,August,26.1
0.0001027113576807,Matara,2019-08-03,2019-08-04,August,26.1
7.763261304247379e-05,Matara,2019-08-04,2019-08-05,August,26.1
5.245533362906521e-05,Matara,2019-08-05,2019-08-06,August,26.1
4.8707759228402166e-05,Matara,2019-08-18,2019-08-19,August,26.1
1.187302498785714e-05,Matara,2019-08-19,2019-08-20,August,26.1
0.0002373940806137,Matara,2019-08-20,2019-08-21,August,26.1
6.798230223314625e-05,Matara,2019-08-29,2019-08-30,August,26.1
0.0001003325498068,Matara,2019-08-30,2019-08-31,August,26.1
6.411903520786512e-05,Matara,2019-09-02,2019-09-03,September,26.0
9.78157384524139e-05,Matara,2019-09-03,2019-09-04,September,26.0
9.791662909121674e-05,Matara,2019-09-04,2019-09-05,September,26.0
7.900931868731356e-05,Matara,2019-09-07,2019-09-08,September,26.0
4.326489287765812e-05,Matara,2019-09-09,2019-09-10,September,26.0
4.263753551153884e-05,Matara,2019-09-10,2019-09-11,September,26.0
8.720108094777346e-05,Matara,2019-09-12,2019-09-13,September,26.0
7.855770871679348e-05,Matara,2019-09-13,2019-09-14,September,26.0
2.78876797254711e-05,Matara,2019-09-21,2019-09-22,September,26.0
8.320224946993188e-05,Matara,2019-09-29,2019-09-30,September,26.0
1.9647603158705263e-05,Matara,2019-09-30,2019-10-01,September,26.0
0.000117836499168,Matara,2019-10-01,2019-10-02,October,25.9
4.612769316736376e-06,Matara,2019-10-06,2019-10-07,October,25.9
7.59858494096762e-05,Matara,2019-10-13,2019-10-14,October,25.9
1.83682831601389e-05,Matara,2019-10-14,2019-10-15,October,25.9
0.0002317053602408,Matara,2019-10-17,2019-10-18,October,25.9
0.0002290918466488,Matara,2019-10-31,2019-11-01,October,25.9
0.0002161975617461,Matara,2019-11-06,2019-11-07,November,25.8
0.0001877186378125,Matara,2019-11-07,2019-11-08,November,25.8
7.553392172272982e-05,Matara,2019-11-08,2019-11-09,November,25.8
0.0002234721468994,Matara,2019-11-11,2019-11-12,November,25.8
0.0001128827506019,Matara,2019-11-13,2019-11-14,November,25.8
5.815962265760409e-05,Matara,2019-11-14,2019-11-15,November,25.8
6.111619864362443e-05,Matara,2019-11-16,2019-11-17,November,25.8
0.0001113500110585,Matara,2019-11-17,2019-11-18,November,25.8
8.669282646079637e-05,Matara,2019-11-18,2019-11-19,November,25.8
6.167588874374884e-05,Matara,2019-11-20,2019-11-21,November,25.8
8.329670267707673e-05,Matara,2019-11-21,2019-11-22,November,25.8
0.000158744442784,Matara,2019-11-22,2019-11-23,November,25.8
8.082623468883076e-05,Matara,2019-11-27,2019-11-28,November,25.8
0.0001039900997813,Matara,2019-11-29,2019-11-30,November,25.8
0.0001545732520753,Matara,2019-12-01,2019-12-02,December,25.7
0.0002290982823012,Matara,2019-12-02,2019-12-03,December,25.7
6.279132131055396e-05,Matara,2019-12-06,2019-12-07,December,25.7
3.668150748126209e-05,Matara,2019-12-10,2019-12-11,December,25.7
4.62315488663879e-06,Matara,2019-12-13,2019-12-14,December,25.7
0.0001486373962426,Matara,2019-12-14,2019-12-15,December,25.7
0.0001227165762943,Matara,2019-12-15,2019-12-16,December,25.7
0.0001229212800705,Matara,2019-12-16,2019-12-17,December,25.7
0.0001877353206509,Matara,2019-12-18,2019-12-19,December,25.7
5.3307634495522295e-05,Matara,2019-12-19,2019-12-20,December,25.7
3.737863824244148e-05,Matara,2019-12-21,2019-12-22,December,25.7
8.239901598712222e-05,Matara,2019-12-23,2019-12-24,December,25.7
0.0001175895423397,Matara,2019-12-24,2019-12-25,December,25.7
6.322827935514696e-05,Matara,2019-12-25,2019-12-26,December,25.7
0.0002801681133864,Matara,2019-12-26,2019-12-27,December,25.7
2.5080770957698957e-05,Matara,2019-12-27,2019-12-28,December,25.7
0.0001125148774131,Matara,2019-12-29,2019-12-30,December,25.7
5.958212666452036e-05,Matara,2019-12-30,2019-12-31,December,25.7
3.443339602476807e-05,Matara,2019-12-31,2020-01-01,December,25.7
5.582477187917614e-05,Matara,2020-01-01,2020-01-02,January,25.8
4.323339089751243e-05,Matara,2020-01-02,2020-01-03,January,25.8
0.0001348303220805,Matara,2020-01-03,2020-01-04,January,25.8
7.345198097368317e-05,Matara,2020-01-04,2020-01-05,January,25.8
2.321362493548122e-05,Matara,2020-01-05,2020-01-06,January,25.8
5.4160664857132805e-05,Matara,2020-01-06,2020-01-07,January,25.8
8.050683431295243e-05,Matara,2020-01-07,2020-01-08,January,25.8
4.716895767844027e-05,Matara,2020-01-08,2020-01-09,January,25.8
0.0001577781896422,Matara,2020-01-09,2020-01-10,January,25.8
0.0001793478869622,Matara,2020-01-10,2020-01-11,January,25.8
9.41050512969195e-05,Matara,2020-01-11,2020-01-12,January,25.8
0.0001152762997662,Matara,2020-01-13,2020-01-14,January,25.8
3.0344823697539575e-05,Matara,2020-01-15,2020-01-16,January,25.8
7.061637462092352e-06,Matara,2020-01-16,2020-01-17,January,25.8
0.0002380160347689,Matara,2020-01-19,2020-01-20,January,25.8
8.649788570140081e-05,Matara,2020-01-20,2020-01-21,January,25.8
5.912812620378361e-05,Matara,2020-01-21,2020-01-22,January,25.8
0.0001127059149439,Matara,2020-01-22,2020-01-23,January,25.8
4.176835190634863e-05,Matara,2020-01-23,2020-01-24,January,25.8
0.0001065585373179,Matara,2020-01-24,2020-01-25,January,25.8
0.0001661374720926,Matara,2020-01-25,2020-01-26,January,25.8
7.276855495625505e-05,Matara,2020-01-26,2020-01-27,January,25.8
6.942144958326742e-05,Matara,2020-01-28,2020-01-29,January,25.8
0.0001887968234636,Matara,2020-01-29,2020-01-30,January,25.8
7.285972572016812e-05,Matara,2020-01-30,2020-01-31,January,25.8
0.0002529024599017,Matara,2020-01-31,2020-02-01,January,25.8
0.0001415127839008,Matara,2020-02-01,2020-02-02,February,26.4
7.155292117745567e-05,Matara,2020-02-02,2020-02-03,February,26.4
3.0342748686962295e-06,Matara,2020-02-03,2020-02-04,February,26.4
0.0002128889628819,Matara,2020-02-06,2020-02-07,February,26.4
9.207190091336028e-05,Matara,2020-02-07,2020-02-08,February,26.4
0.0001354965851584,Matara,2020-02-09,2020-02-10,February,26.4
0.0001617020217739,Matara,2020-02-10,2020-02-11,February,26.4
0.0001742292469876,Matara,2020-02-11,2020-02-12,February,26.4
0.0002540055798295,Matara,2020-02-12,2020-02-13,February,26.4
3.371115622175777e-05,Matara,2020-02-13,2020-02-14,February,26.4
0.0001794127728646,Matara,2020-02-16,2020-02-17,February,26.4
0.0002209353604297,Matara,2020-02-17,2020-02-18,February,26.4
6.674241804341922e-05,Matara,2020-02-18,2020-02-19,February,26.4
0.0001222466447894,Matara,2020-02-19,2020-02-20,February,26.4
8.883904957213684e-05,Matara,2020-02-20,2020-02-21,February,26.4
0.0001415435780818,Matara,2020-02-23,2020-02-24,February,26.4
6.469066327585497e-05,Matara,2020-02-24,2020-02-25,February,26.4
2.3133790736772745e-05,Matara,2020-02-25,2020-02-26,February,26.4
6.435616459262533e-05,Matara,2020-02-26,2020-02-27,February,26.4
0.0001474108560456,Matara,2020-02-27,2020-02-28,February,26.4
7.261802893327325e-05,Matara,2020-02-28,2020-02-29,February,26.4
0.0002432750616004,Matara,2020-03-02,2020-03-03,March,26.9
0.0001371470386965,Matara,2020-03-03,2020-03-04,March,26.9
0.0003196327910867,Matara,2020-03-04,2020-03-05,March,26.9
9.590982845119733e-05,Matara,2020-03-07,2020-03-08,March,26.9
8.151255612816e-05,Matara,2020-03-08,2020-03-09,March,26.9
0.0002133951068221,Matara,2020-03-09,2020-03-10,March,26.9
8.807318490189663e-05,Matara,2020-03-10,2020-03-11,March,26.9
0.0001212261634002,Matara,2020-03-11,2020-03-12,March,26.9
0.0001866045606144,Matara,2020-03-12,2020-03-13,March,26.9
0.0002164612674754,Matara,2020-03-13,2020-03-14,March,26.9
0.0001451271620085,Matara,2020-03-14,2020-03-15,March,26.9
7.107494193457907e-05,Matara,2020-03-15,2020-03-16,March,26.9
1.4219102992139211e-05,Matara,2020-03-16,2020-03-17,March,26.9
0.0002336150704328,Matara,2020-03-18,2020-03-19,March,26.9
6.550971145592522e-05,Matara,2020-03-19,2020-03-20,March,26.9
4.255753104668866e-05,Matara,2020-03-20,2020-03-21,March,26.9
0.0001205499327439,Matara,2020-03-21,2020-03-22,March,26.9
0.0001706812737525,Matara,2020-03-22,2020-03-23,March,26.9
0.0001902743112101,Matara,2020-03-23,2020-03-24,March,26.9
0.0001626924924219,Matara,2020-03-24,2020-03-25,March,26.9
0.0001398410212964,Matara,2020-03-25,2020-03-26,March,26.9
0.0002149587402132,Matara,2020-03-26,2020-03-27,March,26.9
0.0001548500985252,Matara,2020-03-27,2020-03-28,March,26.9
0.0001659523665068,Matara,2020-03-28,2020-03-29,March,26.9
0.0001050452628987,Matara,2020-03-29,2020-03-30,March,26.9
0.0002204980965198,Matara,2020-03-30,2020-03-31,March,26.9
0.0001623857386471,Matara,2020-03-31,2020-04-01,March,26.9
0.0001385958375868,Matara,2020-04-01,2020-04-02,April,27.0
0.0001188315780021,Matara,2020-04-02,2020-04-03,April,27.0
0.0001931528322209,Matara,2020-04-03,2020-04-04,April,27.0
0.0002263844998637,Matara,2020-04-05,2020-04-06,April,27.0
0.0001089687322607,Matara,2020-04-07,2020-04-08,April,27.0
0.0001147216354394,Matara,2020-04-08,2020-04-09,April,27.0
0.0001323069220559,Matara,2020-04-09,2020-04-10,April,27.0
9.85519800843023e-05,Matara,2020-04-10,2020-04-11,April,27.0
6.881059950028768e-05,Matara,2020-04-11,2020-04-12,April,27.0
3.27301412484459e-05,Matara,2020-04-12,2020-04-13,April,27.0
3.621056330483745e-05,Matara,2020-04-13,2020-04-14,April,27.0
0.0001241814675436,Matara,2020-04-14,2020-04-15,April,27.0
6.521946258410748e-05,Matara,2020-04-15,2020-04-16,April,27.0
2.395888714090688e-06,Matara,2020-04-16,2020-04-17,April,27.0
6.948048640131524e-05,Matara,2020-04-18,2020-04-19,April,27.0
6.384248190519383e-05,Matara,2020-04-19,2020-04-20,April,27.0
0.000138173020811,Matara,2020-04-20,2020-04-21,April,27.0
0.0001303255564684,Matara,2020-04-21,2020-04-22,April,27.0
3.486263002774481e-06,Matara,2020-04-23,2020-04-24,April,27.0
8.073384512511853e-05,Matara,2020-04-26,2020-04-27,April,27.0
0.0001121884341241,Matara,2020-04-27,2020-04-28,April,27.0
0.0002022100508204,Matara,2020-04-28,2020-04-29,April,27.0
9.111307020899032e-05,Matara,2020-04-29,2020-04-30,April,27.0
0.0001920155304563,Matara,2020-04-30,2020-05-01,April,27.0
0.0001749976495949,Matara,2020-05-01,2020-05-02,May,26.8
5.825853853115324e-05,Matara,2020-05-04,2020-05-05,May,26.8
0.0001066485002667,Matara,2020-05-08,2020-05-09,May,26.8
8.813543154319978e-05,Matara,2020-05-12,2020-05-13,May,26.8
0.000130520584253,Matara,2020-05-13,2020-05-14,May,26.8
0.000125077001634,Matara,2020-05-15,2020-05-16,May,26.8
0.0001085663751123,Matara,2020-05-18,2020-05-19,May,26.8
8.066085494189349e-05,Matara,2020-05-20,2020-05-21,May,26.8
0.0001064809700281,Matara,2020-05-21,2020-05-22,May,26.8
4.538882770357599e-05,Matara,2020-05-23,2020-05-24,May,26.8
5.450283041426242e-05,Matara,2020-05-24,2020-05-25,May,26.8
0.0001745190751963,Matara,2020-05-26,2020-05-27,May,26.8
9.748732206240254e-05,Matara,2020-05-30,2020-05-31,May,26.8
9.112752099849167e-05,Matara,2020-05-31,2020-06-01,May,26.8
8.765331116827676e-05,Matara,2020-06-01,2020-06-02,June,26.4
0.0001365986811061,Matara,2020-06-02,2020-06-03,June,26.4
4.755925841214103e-05,Matara,2020-06-03,2020-06-04,June,26.4
0.0001642768098681,Matara,2020-06-04,2020-06-05,June,26.4
2.940111799718637e-05,Matara,2020-06-05,2020-06-06,June,26.4
2.50764877911081e-05,Matara,2020-06-09,2020-06-10,June,26.4
4.234014420232019e-05,Matara,2020-06-11,2020-06-12,June,26.4
2.1925116564174516e-05,Matara,2020-06-13,2020-06-14,June,26.4
9.755461637929395e-05,Matara,2020-06-14,2020-06-15,June,26.4
5.990239896855989e-05,Matara,2020-06-15,2020-06-16,June,26.4
0.0001552861313468,Matara,2020-06-18,2020-06-19,June,26.4
0.0001352933324333,Matara,2020-06-20,2020-06-21,June,26.4
4.162291499108151e-05,Matara,2020-06-22,2020-06-23,June,26.4
0.0002094515544984,Matara,2020-06-23,2020-06-24,June,26.4
5.990897422030939e-05,Matara,2020-06-24,2020-06-25,June,26.4
0.0002051720192701,Matara,2020-06-26,2020-06-27,June,26.4
0.0001124744363319,Matara,2020-06-27,2020-06-28,June,26.4
5.667417479348952e-05,Matara,2020-06-29,2020-06-30,June,26.4
4.5889721509336015e-05,Matara,2020-07-01,2020-07-02,July,26.2
8.012221601086614e-05,Matara,2020-07-02,2020-07-03,July,26.2
8.639349798422517e-05,Matara,2020-07-04,2020-07-05,July,26.2
0.0001225770297818,Matara,2020-07-05,2020-07-06,July,26.2
7.719590280196281e-05,Matara,2020-07-07,2020-07-08,July,26.2
0.0001133111030949,Matara,2020-07-10,2020-07-11,July,26.2
4.19976992453612e-05,Matara,2020-07-12,2020-07-13,July,26.2
0.0001579608688965,Matara,2020-07-13,2020-07-14,July,26.2
0.0001246352851251,Matara,2020-07-14,2020-07-15,July,26.2
0.000163621393785,Matara,2020-07-15,2020-07-16,July,26.2
4.0699195288202375e-05,Matara,2020-07-19,2020-07-20,July,26.2
0.0001364200889515,Matara,2020-07-24,2020-07-25,July,26.2
2.1475540234825472e-05,Matara,2020-07-29,2020-07-30,July,26.2
5.1048635909636394e-05,Matara,2020-07-30,2020-07-31,July,26.2
2.924437244494896e-05,Matara,2020-08-08,2020-08-09,August,26.1
4.1295637467464296e-05,Matara,2020-08-12,2020-08-13,August,26.1
3.090356865327022e-05,Matara,2020-08-13,2020-08-14,August,26.1
3.336985659278598e-05,Matara,2020-08-14,2020-08-15,August,26.1
2.0616734382838223e-05,Matara,2020-08-15,2020-08-16,August,26.1
2.794780563557463e-05,Matara,2020-08-16,2020-08-17,August,26.1
6.377265381584466e-05,Matara,2020-08-17,2020-08-18,August,26.1
9.864819027521158e-05,Matara,2020-08-18,2020-08-19,August,26.1
4.9262040098221225e-06,Matara,2020-08-19,2020-08-20,August,26.1
2.8190357682196595e-05,Matara,2020-08-20,2020-08-21,August,26.1
0.0001861171290337,Matara,2020-08-21,2020-08-22,August,26.1
7.621310608758228e-05,Matara,2020-08-22,2020-08-23,August,26.1
6.437629697331358e-05,Matara,2020-08-23,2020-08-24,August,26.1
1.8112833447135636e-05,Matara,2020-08-24,2020-08-25,August,26.1
0.0001197921551961,Matara,2020-08-25,2020-08-26,August,26.1
0.00010436146086,Matara,2020-08-26,2020-08-27,August,26.1
0.0001438969521762,Matara,2020-08-27,2020-08-28,August,26.1
9.722794985268776e-06,Matara,2020-08-29,2020-08-30,August,26.1
6.355691278891022e-05,Matara,2020-08-30,2020-08-31,August,26.1
8.661133966412367e-05,Matara,2020-08-31,2020-09-01,August,26.1
7.4993453434322835e-06,Matara,2020-09-04,2020-09-05,September,26.0
2.6322920997321783e-05,Matara,2020-09-08,2020-09-09,September,26.0
0.0002224830849442,Matara,2020-09-17,2020-09-18,September,26.0
4.583581010911004e-05,Matara,2020-09-23,2020-09-24,September,26.0
7.91982205255503e-05,Matara,2020-09-26,2020-09-27,September,26.0
0.0001730573872732,Matara,2020-09-27,2020-09-28,September,26.0
0.0002153846821328,Matara,2020-09-28,2020-09-29,September,26.0
7.805495156078104e-05,Matara,2020-10-01,2020-10-02,October,25.9
5.11396381577283e-05,Matara,2020-10-02,2020-10-03,October,25.9
0.0001470353174131,Matara,2020-10-03,2020-10-04,October,25.9
7.427887270270059e-05,Matara,2020-10-06,2020-10-07,October,25.9
8.672872804832765e-05,Matara,2020-10-07,2020-10-08,October,25.9
0.0001776092143231,Matara,2020-10-08,2020-10-09,October,25.9
2.006258289078075e-05,Matara,2020-10-13,2020-10-14,October,25.9
6.743872324542771e-05,Matara,2020-10-16,2020-10-17,October,25.9
7.88039692583951e-05,Matara,2020-10-18,2020-10-19,October,25.9
8.14640135703686e-05,Matara,2020-10-19,2020-10-20,October,25.9
4.375215796516543e-05,Matara,2020-10-20,2020-10-21,October,25.9
2.8664431224434865e-05,Matara,2020-10-23,2020-10-24,October,25.9
1.5337545245524416e-05,Matara,2020-10-25,2020-10-26,October,25.9
9.325465439721767e-05,Matara,2020-10-26,2020-10-27,October,25.9
0.0001089228643199,Matara,2020-10-28,2020-10-29,October,25.9
0.000172642832608,Matara,2020-10-30,2020-10-31,October,25.9
5.735456422793126e-05,Matara,2020-11-01,2020-11-02,November,25.8
0.0001501435976033,Matara,2020-11-02,2020-11-03,November,25.8
0.0003044006539601,Matara,2020-11-04,2020-11-05,November,25.8
0.0002808075766313,Matara,2020-11-09,2020-11-10,November,25.8
0.0001263750317383,Matara,2020-11-12,2020-11-13,November,25.8
4.6042693517096504e-05,Matara,2020-11-17,2020-11-18,November,25.8
0.0001647422607652,Matara,2020-11-20,2020-11-21,November,25.8
4.312117315657817e-05,Matara,2020-11-26,2020-11-27,November,25.8
0.0001040317384849,Matara,2020-11-27,2020-11-28,November,25.8
0.0002328566561061,Matara,2020-11-29,2020-11-30,November,25.8
2.8697147545678193e-05,Matara,2020-12-03,2020-12-04,December,25.7
0.0001043584689961,Matara,2020-12-04,2020-12-05,December,25.7
6.682676556367445e-05,Matara,2020-12-05,2020-12-06,December,25.7
0.0001196708083678,Matara,2020-12-06,2020-12-07,December,25.7
7.595863888521366e-05,Matara,2020-12-07,2020-12-08,December,25.7
7.886755895828837e-06,Matara,2020-12-08,2020-12-09,December,25.7
8.53596431075125e-05,Matara,2020-12-09,2020-12-10,December,25.7
0.0001971155792713,Matara,2020-12-10,2020-12-11,December,25.7
0.0001281830781171,Matara,2020-12-12,2020-12-13,December,25.7
0.0003335391221134,Matara,2020-12-14,2020-12-15,December,25.7
5.124336258490429e-05,Matara,2020-12-15,2020-12-16,December,25.7
8.139267673429977e-05,Matara,2020-12-16,2020-12-17,December,25.7
0.0002554480665353,Matara,2020-12-17,2020-12-18,December,25.7
5.870730820802086e-05,Matara,2020-12-27,2020-12-28,December,25.7
0.000154408176711,Matara,2020-12-30,2020-12-31,December,25.7
0.0003106568161168,Matara,2021-01-02,2021-01-03,January,25.8
0.0001056232170524,Matara,2021-01-03,2021-01-04,January,25.8
7.407614588947896e-05,Matara,2021-01-04,2021-01-05,January,25.8
0.0002104229869099,Matara,2021-01-05,2021-01-06,January,25.8
1.9768748819264147e-06,Matara,2021-01-14,2021-01-15,January,25.8
9.540035421273538e-05,Matara,2021-01-21,2021-01-22,January,25.8
0.0002039016721164,Matara,2021-01-22,2021-01-23,January,25.8
