HCHO_Amount,Location,Present_Date,Next_Date
7.427887270270059e-05,Matara,2020-10-06,2020-10-07
8.672872804832765e-05,Matara,2020-10-07,2020-10-08
0.0001776092143231,Matara,2020-10-08,2020-10-09
2.006258289078075e-05,Matara,2020-10-13,2020-10-14
6.743872324542771e-05,Matara,2020-10-16,2020-10-17
7.88039692583951e-05,Matara,2020-10-18,2020-10-19
8.14640135703686e-05,Matara,2020-10-19,2020-10-20
4.375215796516543e-05,Matara,2020-10-20,2020-10-21
2.8664431224434865e-05,Matara,2020-10-23,2020-10-24
1.5337545245524416e-05,Matara,2020-10-25,2020-10-26
9.325465439721767e-05,Matara,2020-10-26,2020-10-27
0.0001089228643199,Matara,2020-10-28,2020-10-29
0.000172642832608,Matara,2020-10-30,2020-10-31
5.735456422793126e-05,Matara,2020-11-01,2020-11-02
0.0001501435976033,Matara,2020-11-02,2020-11-03
0.0003044006539601,Matara,2020-11-04,2020-11-05
0.0002808075766313,Matara,2020-11-09,2020-11-10
0.0001263750317383,Matara,2020-11-12,2020-11-13
4.6042693517096504e-05,Matara,2020-11-17,2020-11-18
0.0001647422607652,Matara,2020-11-20,2020-11-21
4.312117315657817e-05,Matara,2020-11-26,2020-11-27
0.0001040317384849,Matara,2020-11-27,2020-11-28
0.0002328566561061,Matara,2020-11-29,2020-11-30
2.8697147545678193e-05,Matara,2020-12-03,2020-12-04
0.0001043584689961,Matara,2020-12-04,2020-12-05
6.682676556367445e-05,Matara,2020-12-05,2020-12-06
0.0001196708083678,Matara,2020-12-06,2020-12-07
7.595863888521366e-05,Matara,2020-12-07,2020-12-08
7.886755895828837e-06,Matara,2020-12-08,2020-12-09
8.53596431075125e-05,Matara,2020-12-09,2020-12-10
0.0001971155792713,Matara,2020-12-10,2020-12-11
0.0001281830781171,Matara,2020-12-12,2020-12-13
0.0003335391221134,Matara,2020-12-14,2020-12-15
5.124336258490429e-05,Matara,2020-12-15,2020-12-16
8.139267673429977e-05,Matara,2020-12-16,2020-12-17
0.0002554480665353,Matara,2020-12-17,2020-12-18
5.870730820802086e-05,Matara,2020-12-27,2020-12-28
0.000154408176711,Matara,2020-12-30,2020-12-31
0.0003106568161168,Matara,2021-01-02,2021-01-03
0.0001056232170524,Matara,2021-01-03,2021-01-04
7.407614588947896e-05,Matara,2021-01-04,2021-01-05
0.0002104229869099,Matara,2021-01-05,2021-01-06
1.9768748819264147e-06,Matara,2021-01-14,2021-01-15
9.540035421273538e-05,Matara,2021-01-21,2021-01-22
0.0002039016721164,Matara,2021-01-22,2021-01-23
0.0001466468874955,Matara,2021-01-24,2021-01-25
0.0001164269934655,Matara,2021-01-25,2021-01-26
5.41443757134865e-05,Matara,2021-01-26,2021-01-27
5.148009249658708e-05,Matara,2021-02-01,2021-02-02
5.336279870397221e-05,Matara,2021-02-02,2021-02-03
0.0001721241360215,Matara,2021-02-07,2021-02-08
1.1895181311354812e-05,Matara,2021-02-08,2021-02-09
0.0001431082062276,Matara,2021-02-10,2021-02-11
7.302566478308894e-06,Matara,2021-02-11,2021-02-12
0.0001483110951191,Matara,2021-02-12,2021-02-13
0.0001147218565813,Matara,2021-02-13,2021-02-14
6.964192417702933e-05,Matara,2021-02-15,2021-02-16
4.398186802109072e-05,Matara,2021-02-16,2021-02-17
9.563513663517757e-05,Matara,2021-02-18,2021-02-19
1.247983132140844e-05,Matara,2021-02-20,2021-02-21
4.6568994067224456e-05,Matara,2021-02-21,2021-02-22
7.304033458998807e-05,Matara,2021-02-23,2021-02-24
7.1363318321443e-05,Matara,2021-02-24,2021-02-25
0.0001455363526677,Matara,2021-02-27,2021-02-28
0.0001109472344213,Matara,2021-02-28,2021-03-01
7.777781987693509e-05,Matara,2021-03-01,2021-03-02
4.18243713644176e-05,Matara,2021-03-02,2021-03-03
8.892517616661547e-05,Matara,2021-03-03,2021-03-04
0.0001515146227367,Matara,2021-03-04,2021-03-05
0.0002879833518879,Matara,2021-03-06,2021-03-07
2.901746763974157e-05,Matara,2021-03-09,2021-03-10
0.0001092184819312,Matara,2021-03-12,2021-03-13
5.8405098090895934e-05,Matara,2021-03-13,2021-03-14
9.231414231883206e-05,Matara,2021-03-14,2021-03-15
0.0001203036848992,Matara,2021-03-15,2021-03-16
0.0001711905994045,Matara,2021-03-16,2021-03-17
0.0002522826750991,Matara,2021-03-21,2021-03-22
6.040138069995957e-05,Matara,2021-03-22,2021-03-23
0.000157566907336,Matara,2021-03-23,2021-03-24
0.0003344494332652,Matara,2021-03-28,2021-03-29
9.512278511182222e-05,Matara,2021-03-30,2021-03-31
9.476370150685085e-05,Matara,2021-03-31,2021-04-01
8.535195523800697e-05,Matara,2021-04-01,2021-04-02
7.715970199000654e-05,Matara,2021-04-03,2021-04-04
0.0001144381005177,Matara,2021-04-04,2021-04-05
0.0001470178284886,Matara,2021-04-05,2021-04-06
0.0002202351622677,Matara,2021-04-06,2021-04-07
8.991131510973491e-05,Matara,2021-04-07,2021-04-08
6.758892359135745e-05,Matara,2021-04-10,2021-04-11
0.0001472687277945,Matara,2021-04-12,2021-04-13
7.886095568910807e-05,Matara,2021-04-16,2021-04-17
7.977429237507787e-05,Matara,2021-04-23,2021-04-24
4.2691050389176394e-05,Matara,2021-04-24,2021-04-25
0.0001621152317577,Matara,2021-04-27,2021-04-28
8.536603600165372e-05,Matara,2021-04-28,2021-04-29
0.0001042326545431,Matara,2021-05-03,2021-05-04
0.0001141248173328,Matara,2021-05-04,2021-05-05
0.0001213392556476,Matara,2021-05-06,2021-05-07
9.339912859190496e-05,Matara,2021-05-07,2021-05-08
0.0001158354593824,Matara,2021-05-09,2021-05-10
8.774188287425133e-05,Matara,2021-05-14,2021-05-15
7.980255032174745e-05,Matara,2021-05-16,2021-05-17
9.644255232280054e-05,Matara,2021-05-17,2021-05-18
0.0001015199071131,Matara,2021-05-18,2021-05-19
4.995612057224007e-05,Matara,2021-05-28,2021-05-29
5.851434639869688e-05,Matara,2021-05-30,2021-05-31
0.0001787415522009,Matara,2021-05-31,2021-06-01
9.685550438995948e-05,Matara,2021-06-01,2021-06-02
0.0001564237617247,Matara,2021-06-03,2021-06-04
0.000123704629187,Matara,2021-06-06,2021-06-07
8.201089268656899e-05,Matara,2021-06-10,2021-06-11
6.654274998507318e-05,Matara,2021-06-11,2021-06-12
3.6721001497602704e-05,Matara,2021-06-12,2021-06-13
9.069684822449844e-06,Matara,2021-06-14,2021-06-15
0.000105527040211,Matara,2021-06-15,2021-06-16
0.0001129013989837,Matara,2021-06-16,2021-06-17
6.582826121555318e-05,Matara,2021-06-18,2021-06-19
8.047208057643684e-05,Matara,2021-06-19,2021-06-20
7.728745012599005e-05,Matara,2021-06-20,2021-06-21
0.0001139107368457,Matara,2021-06-21,2021-06-22
3.8487074885276534e-05,Matara,2021-06-25,2021-06-26
0.0003594298614444,Matara,2021-06-27,2021-06-28
3.3806192032571975e-06,Matara,2021-06-29,2021-06-30
4.7814302997090105e-05,Matara,2021-06-30,2021-07-01
0.0001609016363862,Matara,2021-07-03,2021-07-04
0.0001128433957137,Matara,2021-07-13,2021-07-14
0.0001564170084476,Matara,2021-07-18,2021-07-19
